name,category,rating,reviews,phone,address,maps_url
Vétérinaire MITVET,Veterinarian,4.9,13.0,0697 39 49 73,260 logements n 212,https://www.google.com/maps/place/V%C3%A9t%C3%A9rinaire+MITVET/data=!4m7!3m6!1s0x12f05fa2b6f4cd8b:0x7d7bd3d32f539614!8m2!3d36.4494195!4d7.4319846!16s%2Fg%2F11rg9l1xvs!19sChIJi830tqJf8BIRFJZTL9PTe30?authuser=0&hl=en&rclk=1
Vétérinaire بيطري,Veterinarian,5.0,4.0,0676 13 66 95,"FC9C+GJ8, Bd du Volontariat",https://www.google.com/maps/place/V%C3%A9t%C3%A9rinaire+%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f05d007a71706f:0x86436aa5c33bdaed!8m2!3d36.468845!4d7.4215498!16s%2Fg%2F11y153hjyn!19sChIJb3BxegBd8BIR7do7w6VqQ4Y?authuser=0&hl=en&rclk=1
Clinique vétérinaire Dr Nigri charif,Animal hospital,3.3,7.0,0661 28 27 58,·,https://www.google.com/maps/place/Clinique+v%C3%A9t%C3%A9rinaire+Dr+Nigri+charif/data=!4m7!3m6!1s0x12f05fd5be8b7489:0xa491c9293821e927!8m2!3d36.453277!4d7.435167!16s%2Fg%2F11j0brsdzm!19sChIJiXSLvtVf8BIRJ-khOCnJkaQ?authuser=0&hl=en&rclk=1
VET-CLINIC,Animal hospital,5.0,8.0,0662 30 07 30,"numéro 07, Rue Ali chorfi",https://www.google.com/maps/place/VET-CLINIC/data=!4m7!3m6!1s0x12f05dfa4861495d:0x6fa238672c0ed259!8m2!3d36.4701188!4d7.43529!16s%2Fg%2F11w98yd194!19sChIJXUlhSPpd8BIRWdIOLGc4om8?authuser=0&hl=en&rclk=1
Green House vet clinic,Veterinarian,5.0,1.0,0672 57 19 44,"CCRR+V2W, A4",https://www.google.com/maps/place/Green+House+vet+clinic/data=!4m7!3m6!1s0x12f061e1478e61af:0x60431d0c4c1bbc41!8m2!3d36.4422483!4d7.440072!16s%2Fg%2F11l6l430w_!19sChIJr2GOR-Fh8BIRQbwbTAwdQ2A?authuser=0&hl=en&rclk=1
ANIMAL WORLD,Animal hospital,5.0,2.0,0663 17 69 71,·,https://www.google.com/maps/place/ANIMAL+WORLD/data=!4m7!3m6!1s0x12f05f47998810e5:0x674fffcb7f0e822f!8m2!3d36.4557011!4d7.4256603!16s%2Fg%2F11jsmk50dp!19sChIJ5RCImUdf8BIRL4IOf8v_T2c?authuser=0&hl=en&rclk=1
Vétérinaire Dr.HAMLAOUI Veterinary عياده بيطريه د.حملاوي,Animal hospital,1.0,2.0,0664 01 73 11,·,https://www.google.com/maps/place/V%C3%A9t%C3%A9rinaire+Dr.HAMLAOUI+Veterinary+%D8%B9%D9%8A%D8%A7%D8%AF%D9%87+%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D9%87+%D8%AF.%D8%AD%D9%85%D9%84%D8%A7%D9%88%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f05e0bd241af8d:0x4691bcdf39fdc8ce!8m2!3d36.46201!4d7.4213113!16s%2Fg%2F11gfnfmtp2!19sChIJja9B0gte8BIRzsj9Od-8kUY?authuser=0&hl=en&rclk=1
Clinique Vétérinaire Elita,Animal hospital,4.3,14.0,0665 69 42 49,·,https://www.google.com/maps/place/Clinique+V%C3%A9t%C3%A9rinaire+Elita/data=!4m7!3m6!1s0x12f05dae79eb9521:0x541f4f1ac4c44404!8m2!3d36.4666176!4d7.4334324!16s%2Fg%2F11vkpmm6xk!19sChIJIZXrea5d8BIRBETExBpPH1Q?authuser=0&hl=en&rclk=1
Cabinet vétérinaire Dr MOUASSA,Veterinarian,5.0,6.0,0550 38 96 42,"romain, Théâtre",https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+Dr+MOUASSA/data=!4m7!3m6!1s0x12f05d1e9725b065:0x9a87fd7130d6c568!8m2!3d36.4671112!4d7.4295349!16s%2Fg%2F11tff37r3s!19sChIJZbAllx5d8BIRaMXWMHH9h5o?authuser=0&hl=en&rclk=1
Cabinet Vétérinaire l'Espoir (Dr. CHEKATI),Veterinarian,4.8,5.0,0666 94 19 53,·,https://www.google.com/maps/place/Cabinet+V%C3%A9t%C3%A9rinaire+l%27Espoir+%28Dr.+CHEKATI%29/data=!4m7!3m6!1s0x12f066ac92f4b993:0x693d660ffae5883d!8m2!3d36.4612737!4d7.5154095!16s%2Fg%2F11bzzs3cm1!19sChIJk7n0kqxm8BIRPYjl-g9mPWk?authuser=0&hl=en&rclk=1
